name,lat,lon
Храм Сергия Радонежского в Троицком Подворье,55.7765617,37.6232529
Южный речной вокзал,55.6893577,37.6757689
Музей Рерихов,55.7466351,37.6032972
Жилой дом на Котельнической набережной,55.7470836,37.6426543
Музей личных коллекций,55.7473762,37.6071231
Галерея искусства Европы и Америки,55.7464881,37.6053051
Всероссийский музей декоративно-прикладного и народного искусства,55.774946,37.6095316
Государственный музей А.С.Пушкина,55.7440686,37.5968988
Государственный центральный театральный музей им. А.А.Бахрушина,55.7318143,37.6380763
Государственный Дарвиновский музей,55.6907141,37.5614951
Бирюлевский дендропарк,55.5968688,37.6771846
Царь-пушка (памятник),55.7514667,37.6179211
Царь-колокол (памятник),55.7507983,37.6184747
Церковь Параскевы (Пятницы) Великомученицы,55.5715164,37.580822
Часовня князя Даниила,55.7109131,37.6236618
Церковь Михаила Архангела,55.7258283,37.6294039
Памятник А. С. Пушкину,55.7653354,37.6054856
Родник Царевна-Лебедь,55.8266489,37.4724198
Троицкая церковь,55.7219666,37.5217272
Природно-исторический парк Битцевский лес,55.5899509,37.562068
Фигурные ворота (музей-заповедник «Царицыно»),55.6142079,37.6808076
Памятник Василию Ивановичу Баженову и Матвею Фёдоровичу Казакову,55.6156575,37.6845333
Музей железнодорожного транспорта,55.7940863,37.6325067
Воробьевы горы,55.709356,37.5423321
Андреевская церковь,55.6836433,37.7636128
Триумфальная площадь(памятник В. Маяковскому),55.769621,37.5956487
Церковь святой блаженной Ксении Петербургской,55.705679,37.7970906
Нулевой километр,55.7558383,37.6176727
Городская усадьба Разумовского,55.7626564,37.6689087
Парк имени 850-летия города Москвы,55.6457536,37.7612112
Электромузей,55.8358144,37.6590738
Памятник 'Рабочий и колхозница',55.8280999,37.6470354
Парк культуры и отдыха Северное Тушино,55.861109,37.4516668
Музей-мастерская Зураба Церетели, дом мастера,55.7663005,37.5757982
Государственный выставочный зал 'Галерея 'Беляево',55.6447691,37.5259429
Палеонтологический музей,55.6239794,37.5139616
Музей-квартира А.С.Пушкина,55.7475414,37.5858475
Памятник космической программе Интеркосмос,55.6117996,37.6025668
Часовня Макария Желтоводского,55.9064869,37.5974471
None45,55.8486675,37.397215
Ростокинский дворник,55.8319712,37.6589201
None47,55.6023434,37.6733797
Смотровая площадка,55.7124303,37.5781424
Фонд культуры 'Екатерина',55.762556,37.6281285
Часовня в парке Северное Тушино,55.8648925,37.4509022
Городская усадьба С.С. Гагарина,55.7559664,37.5891178
Русские валенки,55.7257389,37.6487933
Николая Чудотворца,55.7892631,37.8229677
Церковь Димитрия Донского,55.6312301,37.8473656
Церковь Макария _-_ митрополита Алтайского,55.6299624,37.8494852
Троицы Живоначальной,55.6158146,37.5838457
Музей Героев Советского Союза Зои и Александра Космодемьянских,55.8206006,37.5047097
None58,55.8217403,37.6657736
Храм в честь иконы Божией Матери 'Неопалимая Купина',55.8698416,37.623044
Альпинисты,55.7147428,37.5575805
Дерево любви,55.7283199,37.5783937
Купание лошадей,55.7790473,37.5580701
Лани,55.7983624,37.5133584
Трехарочный грот,55.6889305,37.7881698
Большой грот,55.6891835,37.788156
None66,55.6425801,37.6539313
В честь украинско-российской дружбы,55.8992278,37.6077048
Дети — жертвы пороков взрослых,55.7459623,37.6194741
Храм Собора Московских святых,55.886697,37.5988274
Музей В.В. Маяковского,55.759489,37.6294805
Praha matka mest,55.6114481,37.6029106
Б. Ш. Окуджаве,55.7481529,37.5878236
None73,55.6163993,37.6808398
Храм Спаса Нерукотворного Образа,55.709756,37.4196124
Музей С. С. Прокофьева,55.7601513,37.6144128
Домовой храм при МИФИ,55.6500725,37.6637064
None77,55.7433052,37.7023621
Тройка лошадей_-_ берущих препятствие,55.6428293,37.5865752
None79,55.7071958,37.5255046
None80,55.7977226,37.5534877
Юноша,55.8126139,37.4483649
Девушка,55.8127962,37.4475319
None83,55.610672,37.798006
Купальщица,55.7189534,37.5870929
Музей 'Храм Покрова в Филях',55.7506982,37.5102343
Храм Всех Святых в Филях,55.7632265,37.4780972
Лошадь 'Вечерняя Москва',55.7334669,37.5878587
Лошадь 'Клоун',55.7336344,37.5881802
Московский Планетарий,55.7614474,37.5836608
Часовня в память о погибших моряках и путешественниках в честь Святителя Николы Угодника,55.735439,37.6437337
None91,55.8752518,37.6678299
None92,55.8754189,37.6679272
